"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"1","Bray","~","pH",0.374045419201815,0.0049412266145945,75.6988999648441,0,0.364360792997759,0.383730045405871
"2","Bray","~","Rainfall",0.193940784257377,0.0101722641545044,19.0656456922128,0,0.174003512873321,0.213878055641433
"3","Bray","~","Distance",0.249256541514174,0.00670978403436152,37.1482212002211,0,0.236105606462783,0.262407476565564
"4","Bray","~","Temperature",0.399025985146986,0.01085378564037,36.7637613610897,0,0.377752956195943,0.420299014098029
"5","Temperature","~","Distance",0.224662056352275,0.00626124654531499,35.8813623974573,0,0.212390238625132,0.236933874079418
"6","Temperature","~","Rainfall",0.737207370679755,0.00487578958267459,151.197535943576,0,0.727650998701517,0.746763742657993
"7","Multifuncitonality","~","Bray",0.503866623600627,0.0173283158405232,29.0776454121587,0,0.469903748640466,0.537829498560787
"8","Multifuncitonality","~","pH",-0.123132643125397,0.0115742023796229,-10.6385424314145,0,-0.145817662939236,-0.100447623311559
"9","Multifuncitonality","~","Rainfall",-0.528727644469522,0.0172277138770397,-30.6905285427444,0,-0.562493343204481,-0.494961945734564
"10","Multifuncitonality","~","Temperature",0.590227144609464,0.0193840917522049,30.4490482275151,0,0.552235022902122,0.628219266316805
"11","Bray","~~","Bray",0.210761497840827,0.00335994236421562,62.7277122624184,0,0.204176131816834,0.21734686386482
"12","Temperature","~~","Temperature",0.221859605806831,0.00344752624286883,64.3532754147253,0,0.215102578535051,0.22861663307861
"13","Multifuncitonality","~~","Multifuncitonality",0.627007214415814,0.00843294167984452,74.3521345480685,0,0.610478952439592,0.643535476392036
"14","pH","~~","pH",1,0,NA,NA,1,1
"15","pH","~~","Rainfall",0.0633087632085372,0,NA,NA,0.0633087632085372,0.0633087632085372
"16","pH","~~","Distance",0.212270192964436,0,NA,NA,0.212270192964436,0.212270192964436
"17","Rainfall","~~","Rainfall",1,0,NA,NA,1,1
"18","Rainfall","~~","Distance",0.556061587992321,0,NA,NA,0.556061587992321,0.556061587992321
"19","Distance","~~","Distance",1,0,NA,NA,1,1
